Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
68210,"Gilead (Gilead, #1)",Marilynne Robinson,"Robinson, Marilynne",,"=""031242440X""","=""9780312424404""",3.0,Picador ,Paperback,247,2006,2004,2025/09/28,2024/07/14,,,read,,,,1,0
11991,The Fall (Vintage International),Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",2.0,Vintage Books,Paperback,147,1991,1956,2025/09/28,2022/07/03,,,read,,,,1,0
222376836,"Life, and Death, and Giants",Ron Rindo,"Rindo, Ron",,"=""1250375339""","=""9781250375339""",4.0,St. Martin's Press,Hardcover,336,2025,2025,2025/09/28,2025/04/28,,,read,"Thank you to St. Martin's Press for providing this book for review via NetGalley.<br/><br/>Life, and Death, and Giants is a novel about faith and community that follows Gabriel Fisher, an extraordinary young man whose unusual size and talents deeply impact his family, neighbors, and strangers whose lives he touches.<br/><br/>The writing is smooth and accessible, with a diverse cast and multiple perspectives that add richness to the story. Seeing Gabriel through different lenses gave the novel emotional depth, and I especially appreciated the glimpse into Amish life.<br/><br/>Some plot points, however, felt a little unbelievable, and the focus on those around Gabriel left me wishing for a deeper look at his inner life. The story also leaned predictable at times, though Rindo’s storytelling kept me turning the pages.<br/><br/>Overall, this is an engaging read that many fans of general fiction will enjoy. While not groundbreaking, it offers warmth, readability, and a moving exploration of family and community. For me, it landed at 3.75 stars (rounded to 4/5).",,,1,0
51118223,This Never Happened,Ryan Tim Morris,"Morris, Ryan Tim",,"=""1775059812""","=""9781775059813""",0,Empire Stamp,Kindle Edition,304,2019,,,2025/08/05,currently-reading,currently-reading (#3),currently-reading,,,,1,0
48915089,Sorrowland,Rivers Solomon,"Solomon, Rivers",,"=""0374266778""","=""9780374266776""",0,MCD,Hardcover,355,2021,2021,,2025/09/24,to-read,to-read (#2501),to-read,,,,0,0
230683626,A Splintering,Dur e Aziz Amna,"Amna, Dur e Aziz",,"=""0715655906""","=""9780715655900""",4.0,Duckworth,Kindle Edition,238,2025,,2025/09/24,2025/04/28,,,read,"Thank you to NetGalley and Duckworth Books for the ARC in exchange for my honest review.<br/><br/><i>A Splintering</i> gripped me from the very first page, and my fascination with Tara’s hunger for more than the world offered her carried me straight through to the end. I was especially absorbed by her frank, sharp voice and the steady development of her character arc. Her flaws, and the way she wrestles with ambition, motherhood, and class expectations, made her a complex and relatable protagonist I was deeply invested in.<br/><br/>The novel explores feminist themes in an organic, unforced way. It doesn’t shy away from asking hard questions about what women owe their families, their children, themselves, and whether it is ever truly possible to “have it all.”<br/><br/>I highly recommend <i>A Splintering</i> to readers who enjoy literary fiction that delves into the messy complexities of ambition, motherhood, and identity.<br/><br/>4.25/5",,,1,0
220998994,An Oral History of Atlantis,Ed     Park,"Park, Ed",,"=""0812998995""","=""9780812998993""",3.0,Random House,Hardcover,224,2025,2025,2025/09/24,2025/02/26,,,read,,,,1,0
52878453,Death in Her Hands,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1984879359""","=""9781984879356""",0,Penguin Press,Hardcover,259,2020,2020,,2025/09/23,to-read,to-read (#2500),to-read,,,,0,0
223641724,Happy Bad,Delaney Nolan,"Nolan, Delaney",,"=""1662603282""","=""9781662603280""",0,Astra House,Hardcover,320,2025,2025,,2025/09/23,to-read,to-read (#2498),to-read,,,,0,0
233333688,Japanese Gothic,Kylie Lee Baker,"Baker, Kylie Lee",,"=""1335001557""","=""9781335001559""",0,Hanover Square Press,Hardcover,344,2026,2026,,2025/09/22,to-read,to-read (#2497),to-read,,,,0,0
960,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",0,Pocket Books,Mass Market Paperback,736,2006,2000,,2025/09/22,to-read,to-read (#2496),to-read,,,,0,0
23418,The Architecture of Happiness,Alain de Botton,"Botton, Alain de",,"=""0375424431""","=""9780375424434""",0,Pantheon Books,Hardcover,288,2006,2006,,2025/09/22,to-read,to-read (#2495),to-read,,,,0,0
406575,The Riddle of the Sands,Erskine Childers,"Childers, Erskine",Milton Bearden,"=""0812966147""","=""9780812966145""",0,Random House Publishing Group,Paperback,336,2002,1903,,2025/09/22,to-read,to-read (#2494),to-read,,,,0,0
25242060,The Truce,Mario Benedetti,"Benedetti, Mario",Harry Morales,"=""0141396857""","=""9780141396859""",0,Penguin UK,Paperback,254,2015,1960,,2025/09/22,to-read,to-read (#2493),to-read,,,,0,0
49867430,"Hench (Hench, #1)",Natalie Zina Walschots,"Walschots, Natalie Zina",,"=""0062978578""","=""9780062978578""",0,William Morrow,Hardcover,403,2020,2020,,2025/09/21,to-read,to-read (#2492),to-read,,,,0,0
837039,"Empire of the Ants (La Saga des Fourmis, #1)",Bernard Werber,"Werber, Bernard",,"=""0553573527""","=""9780553573527""",0,Bantam,Mass Market Paperback,320,1999,1991,,2025/09/21,to-read,to-read (#2491),to-read,,,,0,0
